routename,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
111th/King Drive,,,,,,,,,,,,5939.15,3585.4083333333333,3765.9833333333336,3865.916666666666,3598.15,3382.3500000000004,3229.058333333334,2976.5833333333335,,,,,,,,,,,,3535.35,2055.4083333333333,2254.4333333333334,2346.55,2223.5833333333335,2046.5,1808.4916666666668,1561.2,,,,,,,,,,,,2352.1000000000004,1538.3333333333333,1745.9166666666667,1774.325,1662.1333333333332,1576.7583333333332,1320.2666666666667,1236.1166666666666,,,,,,,,,,,,150673.0,92522.25,98188.16666666667,100839.5,94228.75,88154.58333333333,82781.16666666667,75907.0,,,,,,,,,,,,11.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
16th/18th,1675.9333333333334,1561.3333333333333,1565.833333333333,1367.1833333333332,1429.791666666667,1449.2833333333335,1525.8166666666666,1629.2916666666667,2262.0583333333334,3150.8583333333336,3631.6666666666665,3888.2000000000003,3906.5499999999997,3853.433333333333,3476.25,3755.1,3782.716666666667,3709.216666666667,3696.258333333333,922.7583333333332,862.9916666666667,959.2333333333331,920.1166666666667,929.6749999999998,862.4,890.2333333333332,995.8416666666666,1541.2083333333337,1964.033333333333,2346.8416666666667,2500.633333333333,2514.9666666666667,2470.733333333333,2258.816666666666,2400.9083333333333,2472.2833333333333,2332.5500000000006,2374.4166666666665,652.2499999999999,605.1,751.1166666666667,692.8249999999999,690.2083333333335,680.5500000000001,684.25,749.1583333333333,1294.8,1710.2416666666668,2075.35,2224.475,2150.4,2103.7916666666665,1905.4916666666668,1954.7833333333335,1958.4750000000004,1788.3583333333333,1752.6999999999998,42694.833333333336,39767.416666666664,40980.0,36454.25,37696.666666666664,37725.916666666664,39569.166666666664,42684.5,60987.583333333336,83667.83333333333,97321.5,104304.5,104194.66666666667,102684.0,92813.41666666667,99750.41666666667,100314.33333333333,97486.08333333333,97257.91666666667,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
31st,,,,,,,,,,,,,,,,508.15,516.975,471.825,534.8333333333333,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,10436.0,10914.0,10032.833333333334,11337.0,,,,,,,,,,,,,,,,10.5,6.5,6.5,6.5
31st/35th,,,,,,,,,,,,5797.2,5067.408333333334,5347.325,5486.908333333333,5393.475,5074.683333333333,4878.8,4641.958333333333,,,,,,,,,,,,3386.5333333333333,3059.9750000000004,3156.7166666666667,3151.191666666667,3140.9583333333335,2818.5083333333328,2677.4166666666665,2642.808333333333,,,,,,,,,,,,2371.5666666666666,2169.2583333333337,2369.291666666667,2457.6666666666665,2345.083333333333,2192.3250000000003,2028.6000000000001,1896.3499999999997,,,,,,,,,,,,150499.33333333334,131306.83333333334,138698.41666666666,142089.16666666666,139712.41666666666,130406.25,125042.66666666667,119209.5,,,,,,,,,,,,11.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5
35th,6287.133333333332,6238.666666666668,5643.791666666667,5646.8,5783.541666666665,5916.241666666668,6389.224999999999,6185.866666666666,5352.966666666666,5116.291666666666,5219.441666666667,5454.922222222222,,,,,,,,3428.9166666666674,3304.6583333333333,3023.3666666666663,3266.483333333333,3119.2166666666667,3367.3416666666667,3758.316666666667,3678.091666666667,3377.65,3212.8999999999996,3361.316666666667,3443.5666666666666,,,,,,,,2207.0333333333333,1826.0833333333333,1854.6000000000001,1843.1333333333332,1873.2916666666667,2004.9333333333334,2225.166666666667,2128.1,2138.625,2175.5916666666667,2312.433333333333,2548.3555555555554,,,,,,,,159141.16666666666,155626.83333333334,141974.83333333334,143554.16666666666,145405.91666666666,149719.41666666666,162869.41666666666,158159.91666666666,138668.58333333334,133151.16666666666,136669.75,142891.0,,,,,,,,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,5.0,,,,,,,
43rd,1295.825,1297.7833333333335,1208.5583333333332,1292.2833333333335,1424.6833333333334,1345.525,1377.0416666666667,1725.9250000000002,1822.1499999999999,2043.9416666666668,2216.641666666667,2023.3083333333334,1734.7083333333333,1753.4833333333333,1750.5249999999999,1621.0250000000003,1447.4166666666667,1413.6333333333334,1357.6250000000002,636.725,649.725,599.525,613.7666666666667,721.3083333333333,663.9833333333332,680.7333333333333,809.5749999999999,859.6,914.65,1053.3916666666667,1111.05,886.6749999999998,894.7083333333334,884.6416666666665,819.0749999999999,749.8249999999999,734.5083333333332,681.3499999999999,361.90000000000003,299.375,307.6333333333334,373.01666666666665,332.37499999999994,283.3833333333334,362.9083333333333,468.7916666666667,483.125,549.0500000000001,669.625,673.2166666666667,529.7916666666666,575.4166666666666,562.225,510.78333333333336,540.5416666666666,525.3749999999999,485.49166666666656,32019.416666666668,31860.0,29782.083333333332,32033.916666666668,34963.083333333336,32758.083333333332,33968.666666666664,42594.916666666664,44742.916666666664,50114.333333333336,54945.333333333336,51121.25,43238.583333333336,43918.25,43761.416666666664,40532.75,36556.416666666664,35778.166666666664,34135.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
47th,8469.591666666667,8328.975,9330.941666666668,11525.516666666668,11953.35,11420.158333333335,11607.491666666669,11553.175000000001,11409.483333333332,11215.041666666666,11455.099999999999,11637.833333333334,10211.533333333335,9855.583333333334,10269.949999999999,9901.391666666665,9650.191666666666,9155.025,9018.508333333335,6359.216666666667,5986.125,6750.991666666668,8607.158333333335,8747.841666666665,8323.325,8853.491666666667,8750.949999999999,8339.958333333334,8378.741666666667,8619.841666666665,8618.583333333334,7310.533333333333,7474.0,7623.483333333334,7080.5,6813.883333333332,6365.833333333332,6246.983333333334,4015.933333333333,3735.6750000000006,4176.825000000001,5855.691666666667,6071.233333333333,5632.308333333333,5732.408333333333,5879.716666666666,5683.341666666667,5658.691666666666,5920.516666666666,6148.041666666667,5147.991666666666,5313.108333333334,5287.700000000001,5016.133333333333,4916.758333333334,4503.875000000001,4535.458333333334,226691.91666666666,220874.0,247779.16666666666,311181.0,321085.0,305523.5833333333,312773.9166666667,312737.5,305927.5,301985.25,309636.3333333333,314875.75,273401.6666666667,267473.1666666667,276951.25,265765.75,258026.16666666666,243887.41666666666,240578.41666666666,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
51st,4830.133333333334,4774.3,3962.783333333333,2607.1666666666665,2627.125,2270.8250000000003,2230.241666666667,2393.808333333333,2337.491666666667,2232.9999999999995,2208.9583333333335,2245.641666666667,1801.3583333333336,1622.6750000000002,1467.1000000000001,1425.6833333333334,1364.65,1407.3500000000001,1274.7833333333335,4336.666666666667,4085.516666666667,3096.0833333333335,1752.6999999999998,1705.5500000000002,1359.5000000000002,1345.0916666666667,1523.0833333333333,1487.966666666667,1323.575,1350.75,1342.1250000000002,1079.9750000000001,987.1416666666668,946.5916666666666,891.6416666666665,843.6,777.4416666666667,764.8333333333334,2331.9916666666663,2379.883333333333,1815.4333333333334,1115.3833333333332,1222.4333333333334,970.1083333333335,896.8833333333332,1028.9500000000003,1072.2499999999998,985.1750000000001,979.4499999999999,1009.8666666666667,743.4749999999999,741.1916666666667,708.8583333333332,674.0583333333335,636.5833333333334,623.4916666666667,573.3916666666665,132538.16666666666,130612.33333333333,106376.83333333333,68563.25,69012.16666666667,58713.916666666664,57556.916666666664,62619.333333333336,61229.666666666664,57975.083333333336,57542.083333333336,58507.333333333336,46493.833333333336,42313.5,38672.666666666664,37477.166666666664,35652.083333333336,36254.083333333336,33129.083333333336,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
55th/Austin,,,,,,,239.01666666666665,239.30833333333337,229.18333333333337,222.60833333333332,247.60000000000005,287.1666666666667,250.05833333333337,293.15000000000003,283.77500000000003,320.64166666666665,320.3,324.2333333333333,295.24166666666673,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,5040.666666666667,5104.25,4864.583333333333,4749.916666666667,5260.916666666667,6101.75,5307.916666666667,6226.916666666667,6033.583333333333,6813.666666666667,6784.0,6894.833333333333,6275.166666666667,,,,,,,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
