,station_id,year,avg_ridership
214,40130,2006,28281.0
215,40130,2007,28385.0
216,40130,2008,29006.0
217,40130,2009,28156.0
218,40130,2010,28625.0
219,40130,2011,29948.0
220,40130,2012,30874.0
221,40130,2013,37287.0
222,40130,2014,30192.0
223,40130,2015,30232.0
224,40130,2016,27448.0
225,40130,2017,25363.0
226,40130,2018,27273.0
227,40130,2019,24009.0
228,40140,2001,56675.0
229,40140,2002,55931.0
230,40140,2003,52718.0
231,40140,2004,50666.0
232,40140,2005,51854.0
233,40140,2006,50958.0
234,40140,2007,48972.0
235,40140,2008,59014.0
236,40140,2009,62029.0
237,40140,2010,65038.0
238,40140,2011,65601.0
239,40140,2012,63190.0
240,40140,2013,58120.0
241,40140,2014,57113.0
242,40140,2015,26960.0
243,40140,2016,50688.0
244,40140,2017,51450.0
245,40140,2018,49792.0
246,40140,2019,46444.0
247,40150,2001,10026.0
248,40150,2002,7398.0
249,40150,2003,5709.0
250,40150,2004,9161.0
251,40150,2005,15592.0
252,40150,2006,19619.0
253,40150,2007,22646.0
254,40150,2008,27235.0
255,40150,2009,27305.0
256,40150,2010,29122.0
257,40150,2011,31328.0
258,40150,2012,33322.0
259,40150,2013,32400.0
260,40150,2014,34498.0
261,40150,2015,34299.0
262,40150,2016,30751.0
263,40150,2017,28407.0
264,40150,2018,27705.0
265,40150,2019,27368.0
266,40160,2001,73931.0
267,40160,2002,68897.0
268,40160,2003,67525.0
269,40160,2004,63936.0
270,40160,2005,63511.0
271,40160,2006,68490.0
272,40160,2007,69432.0
273,40160,2008,72574.0
274,40160,2009,69933.0
275,40160,2010,66236.0
276,40160,2011,69998.0
277,40160,2012,67686.0
278,40160,2013,66489.0
279,40160,2014,68416.0
280,40160,2015,64530.0
281,40160,2016,67238.0
282,40160,2017,67677.0
283,40160,2018,69084.0
284,40160,2019,69172.0
285,40170,2001,36527.0
286,40170,2002,37687.0
287,40170,2003,37066.0
288,40170,2004,36681.0
289,40170,2005,39978.0
290,40170,2006,47178.0
291,40170,2007,57394.0
292,40170,2008,62250.0
293,40170,2009,62216.0
